dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.423764,5.799940,5.509070,1.205594,-1.498393,-2.827621,6.183222
0.020000,6.447091,5.797111,5.532568,1.174894,-1.535007,-1.830739,6.141221
0.020000,6.469664,5.793378,5.555447,1.143998,-1.544803,-0.489785,6.096749
0.020000,6.491450,5.788744,5.577720,1.113641,-1.517866,1.346877,6.049849
0.020000,6.512427,5.783216,5.599414,1.084685,-1.447779,3.504314,6.000632
0.020000,6.532595,5.776801,5.620577,1.058159,-1.326298,6.074071,5.949294
0.020000,6.551969,5.769503,5.641280,1.035139,-1.151020,8.763871,5.896116
0.020000,6.570584,5.761319,5.661614,1.016726,-0.920643,11.518890,5.841464
0.020000,6.588489,5.752236,5.681692,1.003859,-0.643343,13.864979,5.785783
0.020000,6.605743,5.742232,5.701637,0.997269,-0.329492,15.692576,5.729575
0.020000,6.622409,5.731271,5.721584,0.997335,0.003275,16.638317,5.673373
0.020000,6.638543,5.719315,5.741665,1.004057,0.336132,16.642881,5.617708
0.020000,6.654192,5.706321,5.762006,1.017033,0.648800,15.633400,5.563081
0.020000,6.669389,5.692250,5.782716,1.035547,0.925707,13.845324,5.509935
0.020000,6.684153,5.677074,5.803889,1.058624,1.153825,11.405891,5.458634
0.020000,6.698486,5.660777,5.825593,1.085185,1.328079,8.712741,5.409459
0.020000,6.712382,5.643357,5.847876,1.114162,1.448843,6.038175,5.362599
0.020000,6.725825,5.624830,5.870766,1.144496,1.516674,3.391540,5.318167
0.020000,6.738796,5.605225,5.894273,1.175367,1.543568,1.344701,5.276202
0.020000,6.751275,5.584585,5.918393,1.205999,1.531601,-0.598343,5.236690
0.020000,6.763244,5.562957,5.943112,1.235920,1.496062,-1.776962,5.199570
0.020000,6.774688,5.540401,5.968405,1.264675,1.437725,-2.916836,5.164749
0.020000,6.785597,5.516975,5.994246,1.292048,1.368645,-3.454011,5.132117
0.020000,6.795963,5.492743,6.020603,1.317826,1.288894,-3.987560,5.101548
0.020000,6.805785,5.467764,6.047443,1.342012,1.209326,-3.978380,5.072912
0.020000,6.815064,5.442099,6.074734,1.364551,1.126958,-4.118380,5.046079
0.020000,6.823805,5.415805,6.102443,1.385474,1.046133,-4.041251,5.020921
0.020000,6.831975,5.389078,6.130390,1.397343,0.593466,-22.633393,4.997435
0.020000,6.839507,5.362287,6.158221,1.391529,-0.290728,-44.209658,4.975723
0.020000,6.846394,5.335673,6.185711,1.374500,-0.851438,-28.035504,4.955744
0.020000,6.852677,5.309320,6.212803,1.354590,-0.995499,-7.203079,4.937335
0.020000,6.858399,5.283287,6.239457,1.332747,-1.092155,-4.832765,4.920341
0.020000,6.863602,5.257624,6.265642,1.309235,-1.175575,-4.171014,4.904627
0.020000,6.868323,5.232379,6.291325,1.284159,-1.253826,-3.912543,4.890072
0.020000,6.872601,5.207588,6.316482,1.257821,-1.316885,-3.152980,4.876571
0.020000,6.876469,5.183290,6.341086,1.230232,-1.379473,-3.129397,4.864029
0.020000,6.879960,5.159511,6.365120,1.201680,-1.427605,-2.406574,4.852363
0.020000,6.883103,5.136279,6.388564,1.172190,-1.474491,-2.344302,4.841499
0.020000,6.885928,5.113618,6.411401,1.141836,-1.517669,-2.158914,4.831372
0.020000,6.888460,5.091546,6.433616,1.110795,-1.552089,-1.720974,4.821923
0.020000,6.890724,5.070084,6.455198,1.079087,-1.585402,-1.665682,4.813100
0.020000,6.892743,5.049245,6.476134,1.046800,-1.614347,-1.447223,4.804856
0.020000,6.894537,5.029045,6.496414,1.013992,-1.640373,-1.301311,4.797150
0.020000,6.896127,5.009496,6.516028,0.980679,-1.665643,-1.263505,4.789945
0.020000,6.897530,4.990608,6.534967,0.946983,-1.684842,-0.959927,4.783205
0.020000,6.898764,4.972392,6.553225,0.912906,-1.703825,-0.949169,4.776902
0.020000,6.899845,4.954856,6.570795,0.878483,-1.721131,-0.865306,4.771007
0.020000,6.900787,4.938007,6.587670,0.843739,-1.737211,-0.804014,4.765497
0.020000,6.901604,4.921853,6.603845,0.808764,-1.748764,-0.577611,4.760348
0.020000,6.902308,4.906400,6.619314,0.773441,-1.766164,-0.870002,4.755540
0.020000,6.902912,4.891653,6.634073,0.737974,-1.773347,-0.359161,4.751057
0.020000,6.903425,4.877616,6.648119,0.702283,-1.784559,-0.560620,4.746879
0.020000,6.903859,4.864295,6.661447,0.666413,-1.793472,-0.445660,4.742994
0.020000,6.904222,4.851694,6.674053,0.630310,-1.805149,-0.583832,4.739387
0.020000,6.904523,4.839816,6.685936,0.594120,-1.809495,-0.217307,4.736047
0.020000,6.904769,4.828663,6.697091,0.557778,-1.817112,-0.380831,4.732961
0.020000,6.904969,4.818238,6.707518,0.521317,-1.823038,-0.296300,4.730120
0.020000,6.905128,4.808545,6.717212,0.484720,-1.829839,-0.340071,4.727515
0.020000,6.905253,4.799585,6.726173,0.448043,-1.833856,-0.200863,4.725138
0.020000,6.905349,4.791361,6.734398,0.411240,-1.840163,-0.315309,4.722981
0.020000,6.905421,4.783873,6.741886,0.374401,-1.841965,-0.090099,4.721039
