dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.560579,5.673702,3.525038,1.607642,-0.038048,0.045061,0.299328
0.020000,4.591253,5.683293,3.557176,1.606914,-0.036384,0.083190,0.306775
0.020000,4.621841,5.693108,3.589301,1.606217,-0.034859,0.076241,0.314277
0.020000,4.652341,5.703150,3.621411,1.605540,-0.033855,0.050214,0.321834
0.020000,4.682752,5.713418,3.653509,1.604896,-0.032185,0.083501,0.329441
0.020000,4.713073,5.723914,3.685595,1.604288,-0.030412,0.088617,0.337098
0.020000,4.743300,5.734639,3.717669,1.603697,-0.029555,0.042852,0.344802
0.020000,4.773434,5.745594,3.749732,1.603148,-0.027455,0.105019,0.352550
0.020000,4.803472,5.756778,3.781785,1.602630,-0.025882,0.078652,0.360339
0.020000,4.833412,5.768193,3.813827,1.602133,-0.024837,0.052234,0.368168
0.020000,4.863254,5.779840,3.845861,1.601686,-0.022339,0.124931,0.376033
0.020000,4.892995,5.791718,3.877886,1.601252,-0.021702,0.031850,0.383932
0.020000,4.922633,5.803828,3.909903,1.600870,-0.019112,0.129465,0.391863
0.020000,4.952168,5.816171,3.941914,1.600508,-0.018125,0.049347,0.399821
0.020000,4.981598,5.828746,3.973917,1.600189,-0.015918,0.110382,0.407806
0.020000,5.010921,5.841554,4.005915,1.599896,-0.014666,0.062590,0.415814
0.020000,5.040136,5.854594,4.037908,1.599647,-0.012469,0.109859,0.423842
0.020000,5.069240,5.867867,4.069897,1.599418,-0.011401,0.053389,0.431888
0.020000,5.098234,5.881372,4.101881,1.599244,-0.008714,0.134336,0.439948
0.020000,5.127115,5.895110,4.133863,1.599076,-0.008415,0.014984,0.448021
0.020000,5.155882,5.909079,4.165842,1.598971,-0.005251,0.158182,0.456104
0.020000,5.184533,5.923279,4.197820,1.598881,-0.004484,0.038371,0.464193
0.020000,5.213068,5.937711,4.229797,1.598829,-0.002601,0.094119,0.472286
0.020000,5.241485,5.952373,4.261773,1.598823,-0.000310,0.114564,0.480380
0.020000,5.267320,5.965945,4.290956,1.459135,-6.984395,-349.204238,0.484694
0.020000,5.299041,5.982506,4.326740,1.789194,16.502955,1174.367463,0.477558
0.020000,5.330944,5.998867,4.362594,1.792700,0.175300,-816.382739,0.470142
0.020000,5.363036,6.015020,4.398522,1.796406,0.185296,0.499792,0.462430
0.020000,5.395324,6.030955,4.434528,1.800295,0.194440,0.457242,0.454404
0.020000,5.427818,6.046661,4.470618,1.804527,0.211589,0.857446,0.446043
0.020000,5.460525,6.062127,4.506797,1.808943,0.220833,0.462175,0.437327
0.020000,5.493453,6.077341,4.543071,1.813674,0.236512,0.783950,0.428232
0.020000,5.526614,6.092290,4.579445,1.818736,0.253135,0.831142,0.418732
0.020000,5.560018,6.106959,4.615928,1.824149,0.270619,0.874239,0.408800
