dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.306085,5.346346,3.264000,1.700000,0.000000,0.000000,0.228404
0.020000,4.339176,5.354156,3.298000,1.700000,0.000000,0.000000,0.235178
0.020000,4.372212,5.362192,3.332000,1.700000,0.000000,0.000000,0.242028
0.020000,4.405193,5.370455,3.366000,1.700000,0.000000,0.000000,0.248951
0.020000,4.438115,5.378947,3.400000,1.700000,0.000000,0.000000,0.255947
0.020000,4.470977,5.387670,3.434000,1.700000,0.000000,0.000000,0.263012
0.020000,4.503776,5.396627,3.468000,1.700000,0.000000,0.000000,0.270147
0.020000,4.536510,5.405818,3.502000,1.700000,0.000000,0.000000,0.277347
0.020000,4.569177,5.415246,3.536000,1.700000,0.000000,0.000000,0.284612
0.020000,4.601774,5.424912,3.570000,1.700000,0.000000,0.000000,0.291940
0.020000,4.634299,5.434818,3.604000,1.700000,0.000000,0.000000,0.299328
0.020000,4.666749,5.444964,3.638000,1.700000,0.000000,0.000000,0.306775
0.020000,4.699123,5.455353,3.672000,1.700000,0.000000,0.000000,0.314277
0.020000,4.731418,5.465986,3.706000,1.700000,0.000000,0.000000,0.321834
0.020000,4.763631,5.476862,3.740000,1.700000,0.000000,0.000000,0.329441
0.020000,4.795760,5.487985,3.774000,1.700000,0.000000,0.000000,0.337098
0.020000,4.827803,5.499354,3.808000,1.700000,0.000000,0.000000,0.344802
0.020000,4.859757,5.510970,3.842000,1.700000,0.000000,0.000000,0.352550
0.020000,4.891620,5.522834,3.876000,1.700000,0.000000,0.000000,0.360339
0.020000,4.923389,5.534946,3.910000,1.700000,0.000000,0.000000,0.368168
0.020000,4.955062,5.547308,3.944000,1.700000,0.000000,0.000000,0.376033
0.020000,4.986637,5.559918,3.978000,1.700000,0.000000,0.000000,0.383932
0.020000,5.018111,5.572778,4.012000,1.700000,0.000000,0.000000,0.391863
0.020000,5.049482,5.585888,4.046000,1.700000,0.000000,0.000000,0.399821
0.020000,5.080747,5.599248,4.080000,1.700000,0.000000,0.000000,0.407806
0.020000,5.111905,5.612857,4.114000,1.700000,0.000000,0.000000,0.415814
0.020000,5.142952,5.626715,4.148000,1.700000,0.000000,0.000000,0.423842
0.020000,5.173887,5.640823,4.182000,1.700000,0.000000,0.000000,0.431888
0.020000,5.204707,5.655179,4.216000,1.700000,0.000000,0.000000,0.439948
0.020000,5.235411,5.669783,4.250000,1.700000,0.000000,0.000000,0.448021
0.020000,5.265995,5.684635,4.284000,1.700000,0.000000,0.000000,0.456104
0.020000,5.296459,5.699734,4.318000,1.700000,0.000000,0.000000,0.464193
0.020000,5.326799,5.715078,4.352000,1.700000,0.000000,0.000000,0.472286
0.020000,5.357014,5.730668,4.386000,1.700000,0.000000,0.000000,0.480380
0.020000,5.383804,5.744741,4.420000,1.700000,0.000000,0.000000,0.484694
0.020000,5.413944,5.760476,4.454000,1.700000,0.000000,0.000000,0.477558
0.020000,5.444197,5.775991,4.488000,1.700000,0.000000,0.000000,0.470142
0.020000,5.474567,5.791277,4.522000,1.700000,0.000000,0.000000,0.462430
0.020000,5.505056,5.806324,4.556000,1.700000,0.000000,0.000000,0.454404
0.020000,5.535668,5.821121,4.590000,1.700000,0.000000,0.000000,0.446043
0.020000,5.566404,5.835655,4.624000,1.700000,0.000000,0.000000,0.437327
0.020000,5.597269,5.849915,4.658000,1.700000,0.000000,0.000000,0.428232
0.020000,5.628265,5.863888,4.692000,1.700000,0.000000,0.000000,0.418732
0.020000,5.659395,5.877560,4.726000,1.700000,0.000000,0.000000,0.408800
0.020000,5.690663,5.890914,4.760000,1.700000,0.000000,0.000000,0.398406
0.020000,5.722071,5.903935,4.794000,1.700000,0.000000,0.000000,0.387517
0.020000,5.753622,5.916604,4.828000,1.700000,0.000000,0.000000,0.376097
0.020000,5.785318,5.928904,4.862000,1.700000,0.000000,0.000000,0.364108
0.020000,5.817165,5.940813,4.896000,1.700000,0.000000,0.000000,0.351507
0.020000,5.849162,5.952310,4.930000,1.700000,0.000000,0.000000,0.338246
0.020000,5.881312,5.963369,4.964000,1.700000,0.000000,0.000000,0.324276
0.020000,5.913618,5.973967,4.998000,1.700000,0.000000,0.000000,0.309540
0.020000,5.946081,5.984074,5.032000,1.700000,0.000000,0.000000,0.293978
0.020000,5.978701,5.993660,5.066000,1.700000,0.000000,0.000000,0.277521
0.020000,6.011479,6.002693,5.100000,1.700000,0.000000,0.000000,0.260098
0.020000,6.044413,6.011136,5.134000,1.700000,0.000000,0.000000,0.241629
0.020000,6.077502,6.018951,5.168000,1.700000,0.000000,0.000000,0.222026
0.020000,6.110743,6.026095,5.202000,1.700000,0.000000,0.000000,0.201196
0.020000,6.144128,6.032524,5.236000,1.700000,0.000000,0.000000,0.179037
0.020000,6.177652,6.038187,5.270000,1.700000,0.000000,0.000000,0.155438
0.020000,6.211305,6.043033,5.304000,1.700000,0.000000,0.000000,0.130283
0.020000,6.245071,6.047002,5.338000,1.700000,0.000000,0.000000,0.103449
0.020000,6.278935,6.050033,5.372000,1.700000,0.000000,0.000000,0.074807
0.020000,6.312873,6.052061,5.406000,1.700000,0.000000,0.000000,0.044226
0.020000,6.346858,6.053016,5.440000,1.700000,0.000000,0.000000,0.011576
0.020000,6.380856,6.052823,5.474000,1.700000,0.000000,0.000000,6.259917
0.020000,6.414824,6.051408,5.508000,1.700000,0.000000,0.000000,6.222768
0.020000,6.448713,6.048692,5.542000,1.700000,0.000000,0.000000,6.183222
0.020000,6.482463,6.044596,5.576000,1.700000,0.000000,0.000000,6.141221
0.020000,6.516004,6.039046,5.610000,1.700000,0.000000,0.000000,6.096749
0.020000,6.549256,6.031969,5.644000,1.700000,0.000000,0.000000,6.049849
0.020000,6.582129,6.023303,5.678000,1.700000,0.000000,0.000000,6.000632
0.020000,6.614525,6.012995,5.712000,1.700000,0.000000,0.000000,5.949294
0.020000,6.646338,6.001008,5.746000,1.700000,0.000000,0.000000,5.896116
0.020000,6.677458,5.987324,5.780000,1.700000,0.000000,0.000000,5.841464
0.020000,6.707775,5.971943,5.814000,1.700000,0.000000,0.000000,5.785783
0.020000,6.737184,5.954890,5.848000,1.700000,0.000000,0.000000,5.729575
0.020000,6.765587,5.936210,5.882000,1.700000,0.000000,0.000000,5.673373
0.020000,6.792901,5.915970,5.916000,1.700000,0.000000,0.000000,5.617708
0.020000,6.819058,5.894255,5.950000,1.700000,0.000000,0.000000,5.563081
0.020000,6.844006,5.871161,5.984000,1.700000,0.000000,0.000000,5.509935
0.020000,6.867714,5.846796,6.018000,1.700000,0.000000,0.000000,5.458634
0.020000,6.890168,5.821270,6.052000,1.700000,0.000000,0.000000,5.409459
0.020000,6.911371,5.794696,6.086000,1.700000,0.000000,0.000000,5.362599
0.020000,6.931340,5.767181,6.120000,1.700000,0.000000,0.000000,5.318167
0.020000,6.950102,5.738829,6.154000,1.700000,0.000000,0.000000,5.276202
0.020000,6.967693,5.709737,6.188000,1.700000,0.000000,0.000000,5.236690
0.020000,6.984158,5.679991,6.222000,1.700000,0.000000,0.000000,5.199570
0.020000,6.999543,5.649673,6.256000,1.700000,0.000000,0.000000,5.164749
0.020000,7.013897,5.618853,6.290000,1.700000,0.000000,0.000000,5.132117
0.020000,7.027270,5.587596,6.324000,1.700000,0.000000,0.000000,5.101548
0.020000,7.039713,5.555955,6.358000,1.700000,0.000000,0.000000,5.072912
0.020000,7.051274,5.523982,6.392000,1.700000,0.000000,0.000000,5.046079
0.020000,7.062001,5.491720,6.426000,1.700000,0.000000,0.000000,5.020921
0.020000,7.071887,5.459379,6.459819,1.681897,-0.905169,-45.258441,4.997435
0.020000,7.080888,5.427362,6.493078,1.644026,-1.893541,-49.418605,4.975723
0.020000,7.089027,5.395913,6.525563,1.604491,-1.976744,-4.160164,4.955744
0.020000,7.096378,5.365084,6.557258,1.564956,-1.976744,-0.000000,4.937335
0.020000,7.103013,5.334901,6.588162,1.525421,-1.976744,0.000000,4.920341
0.020000,7.108996,5.305388,6.618275,1.485886,-1.976744,-0.000000,4.904627
0.020000,7.114387,5.276566,6.647597,1.446351,-1.976744,0.000000,4.890072
0.020000,7.119239,5.248450,6.676129,1.406817,-1.976744,0.000000,4.876571
0.020000,7.123600,5.221055,6.703870,1.367282,-1.976744,-0.000000,4.864029
0.020000,7.127515,5.194390,6.730820,1.327747,-1.976744,0.000000,4.852363
0.020000,7.131023,5.168467,6.756980,1.288212,-1.976744,0.000000,4.841499
0.020000,7.134161,5.143293,6.782348,1.248677,-1.976744,-0.000000,4.831372
0.020000,7.136962,5.118875,6.806927,1.209142,-1.976744,0.000000,4.821923
0.020000,7.139457,5.095219,6.830714,1.169607,-1.976744,0.000000,4.813100
0.020000,7.141675,5.072329,6.853711,1.130072,-1.976744,-0.000000,4.804856
0.020000,7.143639,5.050210,6.875917,1.090537,-1.976744,0.000000,4.797150
0.020000,7.145375,5.028865,6.897332,1.051003,-1.976744,-0.000000,4.789945
0.020000,7.146903,5.008298,6.917957,1.011468,-1.976744,0.000000,4.783205
0.020000,7.148244,4.988509,6.937791,0.971933,-1.976744,0.000000,4.776902
0.020000,7.149416,4.969502,6.956834,0.932398,-1.976744,-0.000000,4.771007
0.020000,7.150435,4.951278,6.975087,0.892863,-1.976744,0.000000,4.765497
0.020000,7.151316,4.933838,6.992549,0.853328,-1.976744,-0.000000,4.760348
0.020000,7.152075,4.917184,7.009220,0.813793,-1.976744,0.000000,4.755540
0.020000,7.152725,4.901317,7.025101,0.774258,-1.976744,-0.000000,4.751057
0.020000,7.153277,4.886237,7.040191,0.734723,-1.976744,0.000000,4.746879
0.020000,7.153742,4.871945,7.054490,0.695189,-1.976744,0.000000,4.742994
0.020000,7.154131,4.858443,7.067998,0.655654,-1.976744,-0.000000,4.739387
0.020000,7.154453,4.845729,7.080716,0.616119,-1.976744,0.000000,4.736047
0.020000,7.154716,4.833805,7.092643,0.576584,-1.976744,-0.000000,4.732961
0.020000,7.154930,4.822671,7.103779,0.537049,-1.976744,0.000000,4.730120
0.020000,7.155100,4.812327,7.114125,0.497514,-1.976744,-0.000000,4.727515
0.020000,7.155233,4.802772,7.123680,0.457979,-1.976744,0.000000,4.725138
0.020000,7.155335,4.794009,7.132444,0.418444,-1.976744,-0.000000,4.722981
0.020000,7.155412,4.786036,7.140417,0.378910,-1.976744,-0.000000,4.721039
0.020000,7.155468,4.778853,7.147600,0.339375,-1.976744,0.000000,4.719304
0.020000,7.155507,4.772461,7.153992,0.299840,-1.976744,-0.000000,4.717774
0.020000,7.155533,4.766860,7.159594,0.260305,-1.976744,0.000000,4.716441
0.020000,7.155550,4.762048,7.164405,0.220770,-1.976744,-0.000000,4.715304
0.020000,7.155560,4.758028,7.168425,0.181235,-1.976744,0.000000,4.714359
0.020000,7.155565,4.754800,7.171654,0.141700,-1.976744,-0.000000,4.713603
0.020000,7.155567,4.752361,7.174093,0.102165,-1.976744,-0.000000,4.713034
0.020000,7.155568,4.750713,7.175741,0.062630,-1.976744,0.000000,4.712650
0.020000,7.155568,4.749855,7.176598,0.023096,-1.976744,0.000000,4.712450
0.020000,7.155568,4.749608,7.176846,0.001664,-1.071575,45.258441,4.712393
0.020000,7.155568,4.749591,7.176862,0.000000,-0.083203,49.418605,4.712389
0.020000,7.155568,4.749591,7.176862,0.000000,0.000000,4.160164,4.712389
